"","yp","Street"
"263",-2.98616864975533,"1002 PINEBURR RD"
"264",-2.98616864975533,"1002 PINEBURR RD"
"265",-2.98616864975533,"1002 PINEBURR RD"
"266",-3.05835525251998,"1002 PINEBURR RD"
"267",-3.0583551937146,"1002 PINEBURR RD"
"268",-3.05835513490923,"1002 PINEBURR RD"
"269",-3.05835507610385,"1002 PINEBURR RD"
"270",-2.67949685241072,"1003 GRANBY AV"
"271",-2.34155598519641,"1003 GRANBY AV"
"272",-2.3415562337702,"1003 GRANBY AV"
"273",-2.34155648234399,"1003 GRANBY AV"
"274",-2.34155673091778,"1003 GRANBY AV"
"275",-2.34155697949158,"1003 GRANBY AV"
"276",-2.34155722806537,"1003 GRANBY AV"
"277",-2.34155747663916,"1003 GRANBY AV"
"278",-2.34155772521295,"1003 GRANBY AV"
"279",-2.34155797378674,"1003 GRANBY AV"
"280",-2.34155822236053,"1003 GRANBY AV"
"281",-2.34155847093432,"1003 GRANBY AV"
"282",-2.34155871950812,"1003 GRANBY AV"
"283",-2.34155896808191,"1003 GRANBY AV"
"284",-2.98616864975533,"1003 GRANBY AV"
"285",-2.98616864975533,"1003 GRANBY AV"
"286",-2.98616864975533,"1003 GRANBY AV"
"287",-2.98616864975533,"1003 GRANBY AV"
"288",-2.98616864975533,"1003 GRANBY AV"
"289",-2.17621323907996,"1003 RICHLAND ST"
"290",-2.17621357194018,"1003 RICHLAND ST"
"291",-2.12313404950744,"1003 RICHLAND ST"
"292",-2.12313438236766,"1003 RICHLAND ST"
"293",-2.65202937432237,"1003 RICHLAND ST"
"294",-2.65202943036768,"1003 RICHLAND ST"
"295",-2.65202948641299,"1003 RICHLAND ST"
"296",-2.6520295424583,"1003 RICHLAND ST"
"297",-2.65202959850361,"1003 RICHLAND ST"
"298",-2.65202965454892,"1003 RICHLAND ST"
"299",-2.65202971059423,"1003 RICHLAND ST"
"300",-2.65202976663954,"1003 RICHLAND ST"
"301",-2.65202982268484,"1003 RICHLAND ST"
"302",-2.65202987873015,"1003 RICHLAND ST"
"303",-2.65202993477546,"1003 RICHLAND ST"
"304",-2.65202999082077,"1003 RICHLAND ST"
"305",-2.65203004686608,"1003 RICHLAND ST"
